# Time (s), Pressure (Pa), Az (m/s²), Attitude Angle (°)
12.340000,69309.391370,-13.892986,66.871612
12.360000,69280.165064,-13.893925,66.853140
12.380000,69250.982420,-13.894905,66.834627
12.400000,69221.843453,-13.895902,66.816072
12.420000,69192.748169,-13.896921,66.797474
12.440000,69163.696564,-13.897963,66.778831
12.460000,69134.688634,-13.898595,66.760145
12.480000,69105.724393,-13.912957,66.741414
12.500000,69076.803876,-13.927387,66.722639
12.520000,69047.927132,-13.941877,66.703816
12.540000,69019.094211,-13.956378,66.684942
12.560000,68990.305159,-13.970891,66.666019
12.580000,68961.560017,-13.985415,66.647046
12.600000,68932.858829,-14.000282,66.628024
12.620000,68904.201636,-14.004552,66.608953
12.640000,68875.588466,-14.008723,66.589831
12.660000,68847.019329,-14.012880,66.570660
12.680000,68818.494232,-14.017061,66.551438
12.700000,68790.013186,-14.021265,66.532165
12.720000,68761.576209,-14.025493,66.512839
12.740000,68733.183317,-14.029926,66.493460
12.760000,68704.834519,-14.028647,66.474027
12.780000,68676.529815,-14.027426,66.454539
12.800000,68648.269200,-14.026759,66.434996
12.820000,68620.052670,-14.026401,66.415398
12.840000,68591.880223,-14.026069,66.395745
12.860000,68563.751860,-14.025761,66.376037
